S/N,Vet Centre,Block Number,Street,Building,Level,Unit,Singapore,Postal Code,Contact Number
38,Fur Folks Home,1212,Upper Thomson Road,,1,,Singapore,787127,6597552015
39,Furiends Veterinary Clinic,58,Yio Chu Kang Road,,,,Singapore,545564,6562442112
40,Furrytails Veterinary Clinic Pte Ltd,2,Jalan Lokam,Kensington Square,,,Singapore,537846,6562149092
41,Gaia Veterinary Centre (Jalan Besar),415,Jalan Besar,,,,Singapore,209016,6569504533
42,Gaia Veterinary Centre (Parksuites),24,Holland Grove Road,Parksuites,1,12,Singapore,278803,6569504533
43,Genesis Veterinary Clinic,935,Yishun Central 1,,1,43,Singapore,760935,6562570682
44,Gentle Oak Veterinary Clinic,21,Ghim Moh Road,,1,225,Singapore,270021,6562508001
45,Hope Veterinary Care,1017,Upper Serangoon Road,,1,1,Singapore,534755,6565189116
46,Island Veterinary Clinic Pte Ltd,114,Jurong East Street 13,,1,404,Singapore,600114,6565605991
47,James Tan Veterinary Centre Pte Ltd,230,Whitley Road,James Tan Hospital,,,Singapore,297823,6562531122
48,Jireh Veterinary Clinic Pte Ltd,530,Balestier Road,,1,4,Singapore,329857,6562669566
49,Kai Vets Pte Ltd,144,Tampines Street 12,,1,392,Singapore,521144,6569808504
50,Kin Veterinary Clinic,780,Upper Bukit Timah Road,,,,Singapore,678125,6569082980
51,Landon Veterinary Specialist Hospital,41,Eng Kong Terrace,Eng Kong Park,,,Singapore,599013,6564637228
52,Light Of Life Veterinary Clinic And Services Llp,703,Bedok Reservoir Road,,1,3508,Singapore,470703,6562433282
53,Maranatha Veterinary Clinic,77,Telok Blangah Drive,,1,234,Singapore,100077,6562730100
54,Monster Pet Vet,6,Everton Park,,1,16,Singapore,80006,6563279148
55,Mount Pleasant Animal Medical Centre (Bedok),158,Bedok South Avenue 3,,1,577,Singapore,460158,6564443561
56,Mount Pleasant Animal Medical Centre (Clementi),105,Clementi Street 12,Sunset Way Residence,1,18,Singapore,120105,6567768858
57,Mount Pleasant Animal Medical Centre (Farrer),3,Queen's Road,Farrer Gardens,2,141,Singapore,260003,6562711132
58,Mount Pleasant Veterinary Centre (2008),2,Jalan Gelenggang,Sembawang Hills Estate,,,Singapore,578187,6562517666
59,Mount Pleasant Veterinary Centre (East),152,East Coast Road,,,,Singapore,428855,6563486110
60,Mount Pleasant Veterinary Centre (North) Pte Ltd,151,Serangoon North Avenue 2,,1,59,Singapore,550151,6562871190
61,Mount Pleasant Veterinary Centre (Yishun),236,Yishun Ring Road,Yishun Hearts,1,1010,Singapore,760236,6564515242
62,My Animal Dispensary Pte Ltd,1,West Coast Drive,Newest,1,15,Singapore,128020,#ERROR!
63,My Family Vet Clinic and Surgery Pte Ltd,265,Bukit Batok East Avenue 4,,1,403,Singapore,650265,6565660448
64,Nam Sang Veterinary Clinic Pte Ltd,2,"Balestier Road, Balesti",,1,699,Singapore,320002,6562548138
65,Namly Veterinary Surgery Pte Ltd,74,Namly Place,Shamrock Park,,,Singapore,267223,6564694744
66,Oasis Vet,15,Venus Road,Windsor Park,,,Singapore,574302,6562562693
67,Ohana Vetcare,258,Pasir Ris Street 21,,4,1,Singapore,510258,6562829070
68,OmniVet,31,Jalan Mas Puteh,Pasir Panjang Gardens,,,Singapore,128633,6568870995
69,P.A.W. (People Animal Wellness) Veterinary Centre Pte Ltd,112,Bukit Purmei Road,,1,207,Singapore,90112,6562737573
70,Passion Veterinary Clinic Pte Ltd,111,Woodlands Street 13,,1,86,Singapore,730111,6566358725
71,Paws & Claws Veterinary Surgery,285,Yishun Avenue 6,Ficus Vale,1,6,Singapore,760285,6563227913
72,Paws N' Claws Veterinary Surgery,6,Sin Ming Road,Sin Ming Plaza,1,4,Singapore,575585,6588914417
73,Pet Care Centre & Clinic Pte Ltd,4,Waringin Park,Pet Care Centre & Clinic,,,Singapore,416318,6564485835
74,Pet Clinic Pte Ltd,211,Serangoon Avenue 4,,1,12,Singapore,550211,6562885565
75,Pet Space (Singapore) Pte. Ltd.,482,Serangoon Road,,1,1,Singapore,218149,6562522623
76,Pets Avenue Veterinary Clinic (Beauty World),50,Jalan Jurong Kechil,JK Building,,,Singapore,598578,6563630333
77,Pets Avenue Veterinary Clinic (Farrer),8,Empress Road,Farrer Gardens,,01-11,Singapore,260008,6564710111
78,Pets Avenue Veterinary Clinic (River Valley),241,River Valley Road,Gianurn Building,2,1,Singapore,238298,6569930333
79,Pets Avenue Veterinary Clinic (Upper Thomson),193,Upper Thomson Road,Yew Lian Park,,,Singapore,574338,6562590555
80,Pets Avenue Veterinary Clinic And Referrals,328,Changi Road,Tedge,1,1,Singapore,419803,6569100555
81,Rehabvet Clinic,513,Serangoon Road,,1,1,Singapore,218154,6562916881
82,Singapore Turf Club Equine Hospital,1,Turf Club Avenue,,1,1,Singapore,738078,6568791341
83,Singapore Veterinary (Singvet) Animal Clinic Beauty World,66,Jalan Jurong Kechil,JK Building,,,Singapore,598586,6568593860
84,Singapore Veterinary (Singvet) Animal Clinic Pte Ltd,768,Woodlands Avenue 6,Woodlands Mart,1,11,Singapore,730768,6563650308
85,Sora Vet,37,Chai Chee Avenue,Ansar Garden,1,291,Singapore,461037,6560221707
86,Spca Community Animal Clinic,50,Sungei Tengah Road,,1,1,Singapore,699012,6562875355
87,Spring Veterinary Care,123,Hougang Avenue 1,,1,1412,Singapore,530123,6562863313
88,Spring Veterinary Care Punggol,681,Punggol Drive,,1,16A,Singapore,820681,6562863313
89,Stars Veterinary Clinic (Hougang Village),681,Hougang Avenue 8,,1,841,Singapore,530681,6562809880
90,Stars Veterinary Clinic Pte Ltd,211,Hougang Street 21,,1,301,Singapore,530211,6562809880
91,The Animal Clinic,109,Clementi Street 11,,1,19,Singapore,120109,6567763450
92,The Animal Clinic (Katong Branch),55,Lorong L Telok Kurau,Bright Centre,1,63,Singapore,425500,6564402336
93,The Animal Doctors,108,Ang Mo Kio Avenue 4,Kebun Baru Heights,1,96,Singapore,560108,6564514531
94,The Animal Doctors (Tiong Bahru),11A,Boon Tiong Road,Tiong Bahru View,2,7,Singapore,161011,6562533023
95,The Cat Vet,2,Pandan Valley,Acacia Court,B1,204D,Singapore,597626,6563632272
96,The Eye Specialist for Animals,299,Tanjong Katong Road,,,,Singapore,437082,6562412011
97,The Gentle Vet,291,Tanjong Katong Road,,,,Singapore,437074,6566553970
98,The Joyous Vet Pte Ltd,475,Choa Chu Kang Ave 3,,1,30A,Singapore,680475,6567670304
99,The Pet Physician,2,Jalan Pari Burong,Picardy Gardens,,,Singapore,488668,6569705267
100,The Veterinary Clinic,31,Lorong Liput,Holland Village,,,Singapore,277742,6564686312
101,The Veterinary Clinic @ Tampines Pte Ltd,476,Tampines Street 44,,1,201,Singapore,520476,6567842048
102,The Visiting Vets Clinic,9,Taman Serasi,,1,9,Singapore,257720,6564753405
103,Toa Payoh Vets Pte. Ltd.,1002,Toa Payoh Industrial Park,Toa Payoh Industrial Park,1,1477,Singapore,319074,6562543326
104,Town Vets Animal Clinic Pte Ltd,22,Havelock Road,,1,687,Singapore,160022,6562767026
105,TP Animal Clinic & Wellness Centre,21,Tampines Avenue 1,Temasek Polytechnic,,,Singapore,529757,6567804230
106,United Veterinary Clinic Pte Ltd,107,Ang Mo Kio Avenue 4,Kebun Baru Heights,1,148,Singapore,560107,6564556880
107,Ves Hospital,232,Whitley Road,Mount Pleasant Animal Hospital,,,Singapore,297824,6566813729
108,Vet Affinity Pte Ltd,151,Bukit Batok Street 11,,1,248,Singapore,650151,6569707505
109,Vet Central,69,Lorong 4 Toa Payoh,Toa Payoh Vista,,,Singapore,310069,6566358646
110,Vet Central (Swan Lake) Pte Ltd,9,Swan Lake Avenue,Opera Estate,,,Singapore,455708,6563468646
111,Vet Practice Pte Ltd,21,Lorong Kilat,Sun Court,1,4,Singapore,598123,6564621757
112,Vet Practice Pte Ltd,31,Holland Close,,1,219,Singapore,270031,6564621757
113,Vetmedic Animal Clinic And Surgery,52,Jalan Malu-Malu,Sembawang Springs Estate,,,Singapore,769667,6560150393
114,Vets For Life Animal Clinic,330,Tanjong Katong Road,,,,Singapore,437106,6563488346
115,Vets For Life Animal Clinic,27A,Lorong Liput,Holland Village,,,Singapore,277738,6563488346
116,Vets For Life Animal Clinic Pte Ltd,491,River Valley Road,,1,5,Singapore,248371,6563488346
117,Vets For Pets (Lengkok Bahru),57,Lengkok Bahru,,1,475,Singapore,151057,6582684039
118,Vets For Pets Pte Ltd,519,Jurong West Street 52,,1,157,Singapore,640519,6565691627
119,West Coast Vetcare Pte Ltd,612,Clementi West Street 1,,1,300,Singapore,120612,6567777423
120,Westside Veterinary Emergency And Referral Hospital,86,Serangoon Garden Way,Serangoon Garden Estate,,,Singapore,555982,6569310095
121,Woodgrove Veterinary Services Pte Ltd,10,Woodlands Square,Woods Square,1,41,Singapore,737714,6560380490
